ID	Раздел DOCX	Требование	Состояние	Где реализовано	Проверка и ограничение
F-01	Фото 01	Список встреч, создание, вакансия, метрики, продолжение, summary, переименование и удаление	ЧАСТИЧНО	Features/Meetings	Основная история и поддиалоги работают; полная карточка вакансии и все действия строки не приняты
F-02	Фото 02	Единая оболочка и горизонтально прокручиваемый трекер вакансий	ГОТОВО	App/AppShell.swift; Features/Tracker/TrackerView.swift	Единая тёмная оболочка и локальная горизонтальная доска собираются и открыты в runtime
F-03	Фото 03	Статистика трекера, воронка, время этапов, PDF, сравнение и архив	ЧАСТИЧНО	Features/Tracker/TrackerView.swift; Core/Domain/Tracker	Метрики, воронка, переходы, сравнение и архив показаны; кнопка PDF пока является интерфейсом без экспорта
F-04	Фото 04	Настраиваемые этапы и drag and drop карточек вакансий	ГОТОВО	Features/Tracker/TrackerView.swift	Колонки загружаются из SQLite, карточки переносятся через dropDestination
F-05	Фото 05	Создание и сохранение пользовательского этапа	ГОТОВО	Features/Tracker/TrackerView.swift; Core/Infrastructure/Database	Диалог сохраняет пользовательский этап и порядок в SQLite
F-06	Фото 06	Сравнение минимум двух офферов по заполненным полям	ЧАСТИЧНО	Features/Tracker/TrackerView.swift	Диалог выбора и сравнение полей есть; расширенная оценка офферов ещё не реализована
F-07	Фото 07	Архив вакансий с восстановлением и сохранением истории	ГОТОВО	Features/Tracker/TrackerView.swift; Core/Infrastructure/Database	Архив и восстановление работают через локальный repository
F-08	Фото 08	Порог протухания и Telegram-напоминания собственного бота	НЕТ	Features/Tracker/TrackerView.swift	Интерфейс настроек воспроизведён; токен, бот и отправка напоминаний не реализованы
F-09	Фото 09	Создание универсального пользовательского контекста	ЧАСТИЧНО	Features/Contexts	Контексты сохраняются; форма ещё не сверена с референсом
F-10	Фото 10	Валидация названия и безопасная отмена создания контекста	ЧАСТИЧНО	Features/Contexts	Нужна отдельная runtime-приёмка диалога
F-11	Фото 11	Редактор, RU/EN, активация, копия, тест и удаление контекста	ЧАСТИЧНО	Features/Contexts	Редактор есть; весь набор действий и ссылки встреч требуют проверки
F-12	Фото 12	Общее хранилище заметок и блокнот внутри встречи	ЧАСТИЧНО	Features/Notes; Features/Overlay	Общее хранилище и панель чтения подключены; расширенное дерево ещё развивается
F-13	Фото 13	Папки, импорт, Markdown-редактор, RAG и просмотр чанков	ЧАСТИЧНО	Features/Notes; Core/Domain/Notes	Папка сохраняется, FTS/RAG есть; полноценная панель форматирования не готова
F-14	Фото 14	System/mic, VAD, Start/Stop, One-Shot, устройство и кольцевой буфер	ЧАСТИЧНО	Features/Audio	Раздельный захват и буфер есть; все режимы UI не приняты
F-15	Фото 15	Независимая фильтрация речи и сохранение начала фразы	ЧАСТИЧНО	Features/Audio	Energy VAD и буфер реализованы; Silero не встроен
F-16	Фото 16	Запись всего интервью в видео с двумя аудиоканалами	НЕТ	Features/Settings/SettingsView.swift	Полный интерфейс записи присутствует; запись видеофайла не реализована
F-17	Фото 17	FPS, разрешение, CRF, битрейт и папка итоговой записи	НЕТ	Features/Settings/SettingsView.swift	Элементы настройки воспроизведены; кодирование и сохранение записи не реализованы
F-18	Фото 18	TTS, пропуск кода, автоозвучка без повторов, голос, громкость и скорость	ЧАСТИЧНО	Features/Speech	Системный TTS, пропуск fenced-кода, громкость, скорость, проверка голоса и сохраняемая автоозвучка работают; потоковое чтение требует доработки
F-19	Фото 19	Баланс, устройство вывода и тест выбранного голоса	ЧАСТИЧНО	Features/Speech	Системные возможности отражены частично; баланс не реализован
F-20	Фото 20	Поиск, редактирование и сохранение горячих клавиш	ЧАСТИЧНО	Features/Overlay	37 команд поддерживают поиск, переназначение, отключение, сброс и сохранение; весь набор физически не проверен
F-21	Фото 21	Настраиваемое перемещение, размер, непрозрачность и сохранение	ЧАСТИЧНО	Features/Overlay	Геометрия, непрозрачность и сохраняемые шаги работают; физическая проверка нескольких дисплеев открыта
F-22	Фото 22	Заметки и независимые подчаты с клавиатуры	ЧАСТИЧНО	Features/Overlay; Features/Meetings	Подчаты и панель заметок подключены; внешние нажатия не приняты
F-23	Фото 23	TTS, отправка с изображением и без, прокрутка горячими клавишами	ЧАСТИЧНО	Features/Overlay	Команды подключены к действиям и новые defaults проверены тестом; физическая TTS-проверка открыта
F-24	Фото 24	Автоответ, сброс контекста и общий сброс назначений	ЧАСТИЧНО	Features/Overlay; Features/Transcription	Автоответ и сброс контекста есть; общий сброс UI не реализован
F-25	Фото 25	Цикл моделей и пять полноценных модельных слотов	ЧАСТИЧНО	Features/QuickActions; Features/Settings	Пять быстрых слотов есть, но цикл модельных пресетов не готов
F-26	Фото 26	Общий каталог моделей по подключённым провайдерам	ЧАСТИЧНО	Features/Settings	OpenAI-compatible конфигурация есть; каталог и группировка не готовы
F-27	Фото 27	Опциональная блокировка одиночных meta-клавиш с честным статусом	НЕТ	Features/Settings/SettingsView.swift	Интерфейс и статус присутствуют; механизм перехвата не реализован
F-28	Фото 28	Виртуальный курсор области и независимая защита курсора	НЕТ	Features/Settings/SettingsView.swift	Интерфейс области и защиты присутствует; механизм не реализован
